label,text
valid,"['ok', 'lar', 'joking', 'wif', 'u', 'oni']"
spam,"['free', 'entry', 'wkly', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', 'st', 'may', 'text', 'fa', 'receive', 'entry', 'questionstd', 'txt', 'ratetcs', 'apply', 'overs']"
valid,"['u', 'dun', 'say', 'early', 'hor', 'u', 'c', 'already', 'say']"
valid,"['nah', 'do', 'nt', 'think', 'goes', 'usf', 'lives', 'around', 'though']"
spam,"['freemsg', 'hey', 'darling', 'weeks', 'word', 'back', 'i', 'd', 'like', 'fun', 'still', 'tb', 'ok', 'xxx', 'std', 'chgs', 'send', 'rcv']"
valid,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'aids', 'patent']"
valid,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'callers', 'press', 'copy', 'friends', 'callertune']"
spam,"['winner', 'valued', 'network', 'customer', 'selected', 'receivea', 'prize', 'reward', 'claim', 'call', 'claim', 'code', 'kl', 'valid', 'hours']"
spam,"['mobile', 'months', 'u', 'r', 'entitled', 'update', 'latest', 'colour', 'mobiles', 'camera', 'free', 'call', 'mobile', 'update', 'co', 'free']"
valid,"['i', 'm', 'gon', 'na', 'home', 'soon', 'do', 'nt', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'k', 'i', 've', 'cried', 'enough', 'today']"
spam,"['six', 'chances', 'win', 'cash', 'pounds', 'txt', 'csh', 'send', 'cost', 'pday', 'days', 'tsandcs', 'apply', 'reply', 'hl', 'info']"
spam,"['urgent', 'week', 'free', 'membership', 'prize', 'jackpot', 'txt', 'word', 'claim', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', 'ldnwarw']"
valid,"['i', 've', 'searching', 'right', 'words', 'thank', 'breather', 'promise', 'wo', 'nt', 'take', 'help', 'granted', 'fulfil', 'promise', 'wonderful', 'blessing', 'times']"
valid,"['date', 'sunday']"
spam,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']"
valid,"['oh', 'kim', 'watching']"
valid,"['eh', 'u', 'remember', 'spell', 'name', 'yes', 'v', 'naughty', 'make', 'v', 'wet']"
valid,"['fine', 'that', 's', 'way', 'u', 'feel', 'that', 's', 'way', 'gota', 'b']"
spam,"['england', 'v', 'macedonia', 'do', 'nt', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'national', 'team', 'eg', 'england', 'trywales', 'scotland', 'txtú', 'poboxoxwwq']"
valid,"['seriously', 'spell', 'name']"
valid,"['i', 'm', 'going', 'try', 'months', 'ha', 'ha', 'joking']"
valid,"['ü', 'pay', 'first', 'lar', 'da', 'stock', 'comin']"
valid,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']"
valid,"['ffffffffff', 'alright', 'way', 'meet', 'sooner']"
valid,"['forced', 'eat', 'slice', 'i', 'm', 'really', 'hungry', 'tho', 'sucks', 'mark', 'getting', 'worried', 'knows', 'i', 'm', 'sick', 'turn', 'pizza', 'lol']"
valid,"['lol', 'always', 'convincing']"
valid,"['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'moms', 'left', 'dinner', 'feel', 'love']"
valid,"['i', 'm', 'back', 'amp', 'packing', 'car', 'ill', 'let', 'know', 'there', 's', 'room']"
valid,"['ahhh', 'work', 'vaguely', 'remember', 'feel', 'like', 'lol']"
valid,"['wait', 'that', 's', 'still', 'clear', 'sure', 'sarcastic', 'that', 's', 'x', 'does', 'nt', 'want', 'live', 'us']"
valid,"['yeah', 'got', 'v', 'apologetic', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', 'wo', 'nt', 'go', 'badly', 'cheers']"
valid,"['k', 'tell', 'anything']"
valid,"['fear', 'fainting', 'housework', 'quick', 'cuppa']"
spam,"['thanks', 'subscription', 'ringtone', 'uk', 'mobile', 'charged', 'month', 'please', 'confirm', 'replying', 'yes', 'reply', 'charged']"
valid,"['yup', 'ok', 'go', 'home', 'look', 'timings', 'msg', 'ü', 'xuhui', 'going', 'learn', 'nd', 'may', 'lesson']"
valid,"['oops', 'ill', 'let', 'know', 'roommates', 'done']"
valid,"['see', 'letter', 'b', 'car']"
valid,"['anything', 'lor', 'u', 'decide']"
valid,"['hello', 'how', 's', 'saturday', 'go', 'texting', 'see', 'you', 'd', 'decided', 'anything', 'tomo', 'i', 'm', 'trying', 'invite', 'anything']"
valid,"['pls', 'go', 'ahead', 'watts', 'wanted', 'sure', 'great', 'weekend', 'abiola']"
valid,"['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']"
